10/19/2015 12:44:29 - 1113	M	512,-1,new_1-3
10/19/2015 12:44:29 - 1113	M	620,-1,new_1-3
10/19/2015 12:44:34 - 1113	L	909,1,0,0,0,0,0,new_1-3
10/19/2015 12:44:34 - 1113	L	713,1,0,0,0,0,0,new_1-3
10/19/2015 12:44:34 - 1113	L	620,1,0,0,0,0,0,new_1-3
10/19/2015 12:44:35 - 1113	L	938,1,0,0,0,0,0,new_1-3
10/19/2015 13:04:21 - 150167	A	4145,2,prontera
10/19/2015 13:04:35 - 150167	A	4145,1,prontera
10/19/2015 15:57:24 - 1028	M	932,-1,pay_dun01
10/19/2015 15:57:24 - 1028	M	756,-1,pay_dun01
10/19/2015 15:57:24 - 1028	M	1214,-1,pay_dun01
10/19/2015 15:57:24 - 1028	M	507,-1,pay_dun01
10/19/2015 15:57:24 - 1028	M	934,-1,pay_dun01
10/19/2015 15:57:24 - 1028	M	1201,-1,pay_dun01
10/19/2015 15:57:24 - 1028	M	1216,-1,pay_dun01
10/19/2015 15:57:25 - 1028	M	932,-1,pay_dun01
10/19/2015 15:57:25 - 1028	M	756,-1,pay_dun01
10/19/2015 15:57:25 - 1028	M	1214,-1,pay_dun01
10/19/2015 15:57:25 - 1028	M	507,-1,pay_dun01
10/19/2015 15:57:25 - 1028	M	1201,-1,pay_dun01
10/19/2015 15:57:25 - 1028	M	1216,-1,pay_dun01
10/19/2015 15:57:35 - 1028	M	932,-1,pay_dun01
10/19/2015 15:57:35 - 1028	M	756,-1,pay_dun01
10/19/2015 15:57:35 - 1028	M	507,-1,pay_dun01
10/19/2015 15:57:35 - 1028	M	934,-1,pay_dun01
10/19/2015 15:57:35 - 1028	M	1201,-1,pay_dun01
10/19/2015 15:57:35 - 1028	M	1216,-1,pay_dun01
10/19/2015 15:57:48 - 1028	M	932,-1,pay_dun01
10/19/2015 15:57:48 - 1028	M	756,-1,pay_dun01
10/19/2015 15:57:48 - 1028	M	1214,-1,pay_dun01
10/19/2015 15:57:48 - 1028	M	507,-1,pay_dun01
10/19/2015 15:57:48 - 1028	M	934,-1,pay_dun01
10/19/2015 15:57:48 - 1028	M	1201,-1,pay_dun01
10/19/2015 15:57:48 - 1028	M	1216,-1,pay_dun01
10/19/2015 15:57:50 - 1116	M	911,-1,pay_dun01
10/19/2015 15:57:50 - 1116	M	5015,-1,pay_dun01
10/19/2015 15:57:50 - 1116	M	7032,-1,pay_dun01
10/19/2015 15:57:50 - 1116	M	507,-1,pay_dun01
10/19/2015 15:57:50 - 1116	M	643,-1,pay_dun01
10/19/2015 15:57:50 - 1116	M	645,-1,pay_dun01
10/19/2015 15:57:50 - 1116	M	757,-1,pay_dun01
10/19/2015 15:57:52 - 1116	M	911,-1,pay_dun01
10/19/2015 15:57:52 - 1116	M	5015,-1,pay_dun01
10/19/2015 15:57:52 - 1116	M	7032,-1,pay_dun01
10/19/2015 15:57:52 - 1116	M	507,-1,pay_dun01
10/19/2015 15:57:52 - 1116	M	643,-1,pay_dun01
10/19/2015 15:57:52 - 1116	M	645,-1,pay_dun01
10/19/2015 15:57:52 - 1116	M	757,-1,pay_dun01
10/19/2015 15:57:56 - 1028	M	932,-1,pay_dun01
10/19/2015 15:57:56 - 1028	M	756,-1,pay_dun01
10/19/2015 15:57:56 - 1028	M	507,-1,pay_dun01
10/19/2015 15:57:56 - 1028	M	1201,-1,pay_dun01
10/19/2015 15:57:56 - 1028	M	1216,-1,pay_dun01
10/19/2015 15:57:57 - 1028	M	932,-1,pay_dun01
10/19/2015 15:57:57 - 1028	M	756,-1,pay_dun01
10/19/2015 15:57:57 - 1028	M	1214,-1,pay_dun01
10/19/2015 15:57:57 - 1028	M	507,-1,pay_dun01
10/19/2015 15:57:57 - 1028	M	1201,-1,pay_dun01
10/19/2015 15:57:57 - 1028	M	1216,-1,pay_dun01
10/19/2015 15:57:58 - 1028	M	932,-1,pay_dun01
10/19/2015 15:57:58 - 1028	M	756,-1,pay_dun01
